kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 306 : 32 256 0 0 0 0 0 0 0 
_1.ptx 307 : 32 256 0 0 0 0 0 0 0 
_1.ptx 309 : 32 224 0 0 0 0 0 0 0 
_1.ptx 310 : 32 320 0 0 0 0 0 0 0 
_1.ptx 311 : 32 352 0 0 0 0 0 0 0 
_1.ptx 312 : 32 10496 1248 0 0 14 1 0 0 
_1.ptx 313 : 32 8160 32 0 0 1 1 0 0 
_1.ptx 314 : 32 256 0 0 0 0 0 0 0 
_1.ptx 315 : 32 224 0 0 0 0 0 0 0 
_1.ptx 316 : 32 224 0 0 0 0 0 0 0 
_1.ptx 317 : 32 320 0 0 0 0 0 0 0 
_1.ptx 318 : 32 352 0 0 0 0 0 0 0 
_1.ptx 319 : 32 10400 1312 0 0 15 1 0 0 
_1.ptx 320 : 32 224 0 0 0 0 0 0 0 
_1.ptx 321 : 32 224 0 0 0 0 0 0 0 
_1.ptx 322 : 32 320 0 0 0 0 0 0 0 
_1.ptx 323 : 32 352 0 0 0 0 0 0 0 
_1.ptx 324 : 32 11680 1216 0 0 14 1 0 0 
_1.ptx 325 : 32 224 0 0 0 0 0 0 0 
_1.ptx 326 : 32 320 0 0 0 0 0 0 0 
_1.ptx 327 : 32 352 0 0 0 0 0 0 0 
_1.ptx 328 : 32 11328 1056 0 0 15 1 0 0 
_1.ptx 329 : 32 256 0 0 0 0 0 0 0 
_1.ptx 330 : 32 256 0 0 0 0 0 0 0 
_1.ptx 331 : 32 256 0 0 0 0 0 0 0 
_1.ptx 333 : 32 224 0 0 0 0 0 0 0 
_1.ptx 334 : 32 320 0 0 0 0 0 0 0 
_1.ptx 335 : 32 352 0 0 0 0 0 0 0 
_1.ptx 336 : 32 10080 1056 0 0 14 1 0 0 
_1.ptx 337 : 32 256 0 0 0 0 0 0 0 
_1.ptx 338 : 32 224 0 0 0 0 0 0 0 
_1.ptx 339 : 32 224 0 0 0 0 0 0 0 
_1.ptx 340 : 32 320 0 0 0 0 0 0 0 
_1.ptx 341 : 32 352 0 0 0 0 0 0 0 
_1.ptx 342 : 32 11264 1248 0 0 13 1 0 0 
_1.ptx 343 : 32 224 0 0 0 0 0 0 0 
_1.ptx 344 : 32 224 0 0 0 0 0 0 0 
_1.ptx 345 : 32 320 0 0 0 0 0 0 0 
_1.ptx 346 : 32 352 0 0 0 0 0 0 0 
_1.ptx 347 : 32 11808 1120 0 0 14 1 0 0 
_1.ptx 348 : 32 224 0 0 0 0 0 0 0 
_1.ptx 349 : 32 320 0 0 0 0 0 0 0 
_1.ptx 350 : 32 352 0 0 0 0 0 0 0 
_1.ptx 351 : 32 12192 1120 0 0 14 1 0 0 
_1.ptx 352 : 32 256 0 0 0 0 0 0 0 
_1.ptx 353 : 32 256 0 0 0 0 0 0 0 
_1.ptx 354 : 32 256 0 0 0 0 0 0 0 
_1.ptx 356 : 32 224 0 0 0 0 0 0 0 
_1.ptx 357 : 32 320 0 0 0 0 0 0 0 
_1.ptx 358 : 32 352 0 0 0 0 0 0 0 
_1.ptx 359 : 32 10432 1184 0 0 14 1 0 0 
_1.ptx 360 : 32 10176 32 0 0 1 1 0 0 
_1.ptx 361 : 32 256 0 0 0 0 0 0 0 
_1.ptx 362 : 32 224 0 0 0 0 0 0 0 
_1.ptx 363 : 32 224 0 0 0 0 0 0 0 
_1.ptx 364 : 32 320 0 0 0 0 0 0 0 
_1.ptx 365 : 32 352 0 0 0 0 0 0 0 
_1.ptx 366 : 32 10912 1088 0 0 16 1 0 0 
_1.ptx 367 : 32 224 0 0 0 0 0 0 0 
_1.ptx 368 : 32 224 0 0 0 0 0 0 0 
_1.ptx 369 : 32 320 0 0 0 0 0 0 0 
_1.ptx 370 : 32 352 0 0 0 0 0 0 0 
_1.ptx 371 : 32 11200 1120 0 0 13 1 0 0 
_1.ptx 372 : 32 224 0 0 0 0 0 0 0 
_1.ptx 373 : 32 320 0 0 0 0 0 0 0 
_1.ptx 374 : 32 352 0 0 0 0 0 0 0 
_1.ptx 375 : 32 10176 1088 0 0 14 1 0 0 
_1.ptx 376 : 32 256 0 0 0 0 0 0 0 
_1.ptx 377 : 32 256 0 0 0 0 0 0 0 
_1.ptx 378 : 32 256 0 0 0 0 0 0 0 
_1.ptx 380 : 32 224 0 0 0 0 0 0 0 
_1.ptx 381 : 32 320 0 0 0 0 0 0 0 
_1.ptx 382 : 32 352 0 0 0 0 0 0 0 
_1.ptx 383 : 32 10048 1056 0 0 14 1 0 0 
_1.ptx 384 : 32 256 0 0 0 0 0 0 0 
_1.ptx 385 : 32 224 0 0 0 0 0 0 0 
_1.ptx 386 : 32 224 0 0 0 0 0 0 0 
_1.ptx 387 : 32 320 0 0 0 0 0 0 0 
_1.ptx 388 : 32 352 0 0 0 0 0 0 0 
_1.ptx 389 : 32 10272 1120 0 0 13 1 0 0 
_1.ptx 390 : 32 224 0 0 0 0 0 0 0 
_1.ptx 391 : 32 224 0 0 0 0 0 0 0 
_1.ptx 392 : 32 320 0 0 0 0 0 0 0 
_1.ptx 393 : 32 352 0 0 0 0 0 0 0 
_1.ptx 394 : 32 11936 1184 0 0 15 1 0 0 
_1.ptx 395 : 32 224 0 0 0 0 0 0 0 
_1.ptx 396 : 32 320 0 0 0 0 0 0 0 
_1.ptx 397 : 32 352 0 0 0 0 0 0 0 
_1.ptx 398 : 32 11360 1184 0 0 14 1 0 0 
_1.ptx 399 : 32 256 0 0 0 0 0 0 0 
_1.ptx 400 : 32 256 0 0 0 0 0 0 0 
_1.ptx 401 : 32 256 0 0 0 0 0 0 0 
